ticker,signal_date,entry_date,entry,stop,target,planned_rr,entry_reason,exit_idx,exit_date,exit_reason,exit_price,r_achieved
A17U.SI,2023-11-30 00:00:00+08:00,2023-12-01 00:00:00+08:00,2.4099572799100084,2.337658561512708,2.554554716704609,2.0,Breakout,91,2023-12-29 00:00:00+08:00,Target,2.554554716704609,2.0
M44U.SI,2023-11-30 00:00:00+08:00,2023-12-01 00:00:00+08:00,1.3619248867034912,1.3210671401023864,1.443640379905701,2.0,Pullback,82,2023-12-15 00:00:00+08:00,Target,1.443640379905701,2.0
U96.SI,2023-11-30 00:00:00+08:00,2023-12-01 00:00:00+08:00,4.600236892700195,4.4749391201480515,4.850832437804483,2.0,Pullback,73,2023-12-04 00:00:00+08:00,Stop,4.4749391201480515,-1.0
ME8U.SI,2023-11-30 00:00:00+08:00,2023-12-01 00:00:00+08:00,1.96496511220932,1.9060161588430402,2.0828630189418793,2.0,Breakout,82,2023-12-15 00:00:00+08:00,Target,2.0828630189418793,2.0
BN4.SI,2023-12-01 00:00:00+08:00,2023-12-04 00:00:00+08:00,6.127993659827265,5.944153850032447,6.4956732794169,2.0,Breakout,76,2023-12-07 00:00:00+08:00,Stop,5.944153850032447,-1.0
V03.SI,2023-12-04 00:00:00+08:00,2023-12-05 00:00:00+08:00,11.280621528625488,10.942202882766724,11.957458820343017,2.0,Pullback,82,2023-12-15 00:00:00+08:00,Stop,10.942202882766724,-1.0
G13.SI,2023-12-07 00:00:00+08:00,2023-12-08 00:00:00+08:00,0.8543322230758407,0.8287022563835654,0.9055921564603912,2.0,Breakout,117,2024-02-06 00:00:00+08:00,Timeout,0.8869016766548157,1.2707567657039247
9CI.SI,2023-12-07 00:00:00+08:00,2023-12-08 00:00:00+08:00,2.827763319015503,2.7429304194450377,2.9974291181564334,2.0,Pullback,78,2023-12-11 00:00:00+08:00,Stop,2.7429304194450377,-1.0
C38U.SI,2023-12-08 00:00:00+08:00,2023-12-11 00:00:00+08:00,1.6268367767333984,1.5780316734313964,1.7244469833374025,2.0,Pullback,82,2023-12-15 00:00:00+08:00,Target,1.7244469833374025,2.0
N2IU.SI,2023-12-08 00:00:00+08:00,2023-12-11 00:00:00+08:00,1.1969507932662964,1.1610422694683074,1.2760731613375569,2.2034425173359966,Pullback,82,2023-12-15 00:00:00+08:00,Target,1.2760731613375569,2.2034425173359966
BN4.SI,2023-12-08 00:00:00+08:00,2023-12-11 00:00:00+08:00,6.017688751220703,5.837158088684082,6.3787500762939455,2.0,Pullback,115,2024-02-02 00:00:00+08:00,Target,6.3787500762939455,2.0
C6L.SI,2023-12-12 00:00:00+08:00,2023-12-13 00:00:00+08:00,5.6761674880981445,5.5058824634552,6.016737537384033,2.0,Pullback,115,2024-02-02 00:00:00+08:00,Target,6.016737537384033,2.0
AJBU.SI,2023-12-13 00:00:00+08:00,2023-12-14 00:00:00+08:00,1.740422010421753,1.6882093501091002,1.9057621955871584,3.1666684703544705,Pullback,82,2023-12-15 00:00:00+08:00,Stop,1.6882093501091002,-1.0
S68.SI,2023-12-13 00:00:00+08:00,2023-12-14 00:00:00+08:00,8.920183181762695,8.724442493300522,9.311664558687042,2.0,Pullback,112,2024-01-30 00:00:00+08:00,Stop,8.724442493300522,-1.0
Z74.SI,2023-12-13 00:00:00+08:00,2023-12-14 00:00:00+08:00,2.216971999645233,2.1504628396558756,2.3499903196239473,2.0,Breakout,83,2023-12-18 00:00:00+08:00,Stop,2.1504628396558756,-1.0
U96.SI,2023-12-18 00:00:00+08:00,2023-12-19 00:00:00+08:00,4.5286383628845215,4.392779211997985,4.800356664657594,2.0,Pullback,92,2024-01-02 00:00:00+08:00,Target,4.800356664657594,2.0
M44U.SI,2023-12-18 00:00:00+08:00,2023-12-19 00:00:00+08:00,1.4042205810546875,1.362093963623047,1.4884738159179687,2.0,Pullback,104,2024-01-18 00:00:00+08:00,Stop,1.362093963623047,-1.0
C38U.SI,2023-12-18 00:00:00+08:00,2023-12-19 00:00:00+08:00,1.7347730531818375,1.6827298615863824,1.8388594363727477,2.0,Breakout,85,2023-12-20 00:00:00+08:00,Stop,1.6827298615863824,-1.0
N2IU.SI,2023-12-18 00:00:00+08:00,2023-12-19 00:00:00+08:00,1.293541312660164,1.254735073280359,1.371153791419774,2.0,Breakout,86,2023-12-21 00:00:00+08:00,Stop,1.254735073280359,-1.0
ME8U.SI,2023-12-18 00:00:00+08:00,2023-12-19 00:00:00+08:00,2.092010249698378,2.029249942207427,2.2175308646802807,2.0,Breakout,104,2024-01-18 00:00:00+08:00,Stop,2.029249942207427,-1.0
Z74.SI,2023-12-19 00:00:00+08:00,2023-12-20 00:00:00+08:00,2.2207965608302422,2.1541726640053347,2.3540443544800573,2.0,Breakout,95,2024-01-05 00:00:00+08:00,Stop,2.1541726640053347,-1.0
V03.SI,2023-12-20 00:00:00+08:00,2023-12-21 00:00:00+08:00,11.659680170480106,11.309889765365703,12.359260980708912,2.0,Breakout,126,2024-02-20 00:00:00+08:00,Timeout,12.055035591125488,1.1302637661432609
C38U.SI,2023-12-21 00:00:00+08:00,2023-12-22 00:00:00+08:00,1.7347730531818375,1.6827298615863824,1.8388594363727477,2.0,Breakout,98,2024-01-10 00:00:00+08:00,Stop,1.6827298615863824,-1.0
N2IU.SI,2023-12-22 00:00:00+08:00,2023-12-26 00:00:00+08:00,1.293541312660164,1.254735073280359,1.371153791419774,2.0,Breakout,102,2024-01-16 00:00:00+08:00,Stop,1.254735073280359,-1.0
C09.SI,2023-12-27 00:00:00+08:00,2023-12-28 00:00:00+08:00,6.117252349853516,5.93373477935791,6.484287490844727,2.0,Pullback,95,2024-01-05 00:00:00+08:00,Stop,5.93373477935791,-1.0
U11.SI,2023-12-28 00:00:00+08:00,2023-12-29 00:00:00+08:00,24.604929435447715,23.866781552384282,26.081225201574583,2.0,Breakout,94,2024-01-04 00:00:00+08:00,Stop,23.866781552384282,-1.0
S63.SI,2023-12-28 00:00:00+08:00,2023-12-29 00:00:00+08:00,3.5625219345092773,3.455646276473999,3.776273250579834,2.0,Pullback,112,2024-01-30 00:00:00+08:00,Stop,3.455646276473999,-1.0
H78.SI,2023-12-28 00:00:00+08:00,2023-12-29 00:00:00+08:00,2.9990270137786865,2.909056203365326,3.1789686346054076,2.0,Pullback,100,2024-01-12 00:00:00+08:00,Stop,2.909056203365326,-1.0
A17U.SI,2024-01-02 00:00:00+08:00,2024-01-03 00:00:00+08:00,2.5123486518859863,2.4369781923294065,2.663089570999146,2.0,Pullback,98,2024-01-10 00:00:00+08:00,Stop,2.4369781923294065,-1.0
D05.SI,2024-01-03 00:00:00+08:00,2024-01-04 00:00:00+08:00,25.591506958007812,24.82376174926758,27.12699737548828,2.0,Pullback,103,2024-01-17 00:00:00+08:00,Stop,24.82376174926758,-1.0
O39.SI,2024-01-03 00:00:00+08:00,2024-01-04 00:00:00+08:00,10.907428741455078,10.580205879211425,11.561874465942385,2.0,Pullback,134,2024-03-01 00:00:00+08:00,Timeout,11.052067756652832,0.44201989496092825
U96.SI,2024-01-03 00:00:00+08:00,2024-01-04 00:00:00+08:00,4.82050253344848,4.675887457445026,5.109732685455389,2.0,Breakout,95,2024-01-05 00:00:00+08:00,Stop,4.675887457445026,-1.0
U14.SI,2024-01-05 00:00:00+08:00,2024-01-08 00:00:00+08:00,5.650241374969482,5.480734133720397,6.070809606739824,2.4811225094055507,Pullback,117,2024-02-06 00:00:00+08:00,Stop,5.480734133720397,-1.0
U11.SI,2024-01-05 00:00:00+08:00,2024-01-08 00:00:00+08:00,24.604929435447715,23.866781552384282,26.081225201574583,2.0,Breakout,98,2024-01-10 00:00:00+08:00,Stop,23.866781552384282,-1.0
U96.SI,2024-01-08 00:00:00+08:00,2024-01-09 00:00:00+08:00,4.856409663615554,4.710717373707087,5.147794243432487,2.0,Breakout,115,2024-02-02 00:00:00+08:00,Target,5.147794243432487,2.0
U11.SI,2024-01-11 00:00:00+08:00,2024-01-12 00:00:00+08:00,24.494059214814243,23.759237438369816,25.963702767703097,2.0,Breakout,103,2024-01-17 00:00:00+08:00,Stop,23.759237438369816,-1.0
BS6.SI,2024-01-11 00:00:00+08:00,2024-01-12 00:00:00+08:00,1.3947521084965315,1.3529095452416355,1.4784372350063235,2.0,Breakout,114,2024-02-01 00:00:00+08:00,Target,1.4784372350063235,2.0
Y92.SI,2024-01-11 00:00:00+08:00,2024-01-12 00:00:00+08:00,0.48070796955778583,0.46628673047105224,0.509550447731253,2.0,Breakout,101,2024-01-15 00:00:00+08:00,Stop,0.46628673047105224,-1.0
