Ticker,Name,Sector,Price,Entry,Stop,Target,R:R,FA Score,TA Score,FA Signals,TA Signals,Entry Reason,Stop Reason,Target Reason,Rel Vol,Ask/Bid Ratio (approx)
A17U.SI,CapitaLand Ascendas REIT,Real Estate,2.58,2.58,2.503,2.735,2.0,4,3,"Low P/E vs sector, Revenue growth, Low debt/equity, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising, MACD bullish cross, Volume surge",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,1.57,1.66
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.,Industrials,3.89,3.89,3.773,4.2,2.66,4,1,"Low P/E vs sector, Revenue growth, Low debt/equity, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Recent swing high (resistance) over the last 60 sessions,0.92,0.93
H78.SI,Hongkong Land Holdings Limited,Real Estate,8.29,8.29,8.041,8.787,2.0,3,2,"Low P/E vs sector, Low debt/equity, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising, Volume surge",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,1.58,3.36
C38U.SI,CapitaLand Integrated Commercial Trust,Real Estate,2.51,2.51,2.435,2.661,2.0,3,2,"Revenue growth, Low debt/equity, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising, MACD bullish cross",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,1.33,2.33
5E2.SI,Seatrium Ltd,Energy,2.16,2.16,2.095,2.4,3.7,2,2,"Revenue growth, Low debt/equity","Uptrend: EMA20>EMA50, both rising, Volume surge",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Recent swing high (resistance) over the last 60 sessions,3.01,2.08
O39.SI,Oversea-Chinese Banking Corporation Limited,Financial Services,29.78,29.78,28.887,31.567,2.0,3,1,"Low P/E vs sector, Revenue growth, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,0.96,3.65
N2IU.SI,Mapletree Pan Asia Commercial Trust,Real Estate,1.36,1.36,1.319,1.442,2.0,2,2,"Low debt/equity, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising, MACD bullish cross",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,0.94,2.05
BN4.SI,Keppel Ltd.,Industrials,12.0,12.0,11.64,12.72,2.0,2,2,"Low P/E vs sector, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising, Volume surge",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,2.32,2.11
D05.SI,DBS Group Holdings Ltd,Financial Services,75.0,75.0,72.75,79.5,2.0,2,1,"Revenue growth, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,0.94,2.59
Y92.SI,Thai Beverage Public Company Limited,Consumer Defensive,0.46,0.46,0.446,0.488,2.0,2,1,"Low P/E vs sector, Dividend 5y consistency","Uptrend: EMA20>EMA50, both rising",Last closing price on the day of the scan,3% max-risk cap (technical swing low was further than 3% away),Minimum 2:1 reward-to-risk from entry and stop,0.95,2.96
